samples	missing	called	pct_called
sample_0144	8	1740	0.9954233409610984
sample_0145	6	1742	0.9965675057208238
sample_0146	8	1740	0.9954233409610984
sample_0147	7	1741	0.9959954233409611
sample_0148	10	1738	0.994279176201373
sample_0149	10	1738	0.994279176201373
sample_0150	8	1740	0.9954233409610984
sample_0151	6	1742	0.9965675057208238
sample_0152	8	1740	0.9954233409610984
sample_0153	5	1743	0.9971395881006865
sample_0154	5	1743	0.9971395881006865
sample_0155	8	1740	0.9954233409610984
sample_0156	9	1739	0.9948512585812357
sample_0157	7	1741	0.9959954233409611
sample_0158	7	1741	0.9959954233409611
sample_0159	9	1739	0.9948512585812357
sample_0160	8	1740	0.9954233409610984
sample_0161	3	1745	0.9982837528604119
sample_0162	20	1728	0.988558352402746
sample_0163	15	1733	0.9914187643020596
sample_0164	8	1740	0.9954233409610984
sample_0165	9	1739	0.9948512585812357
sample_0166	6	1742	0.9965675057208238
sample_0167	8	1740	0.9954233409610984
sample_0168	10	1738	0.994279176201373
sample_0169	8	1740	0.9954233409610984
sample_0170	29	1719	0.9834096109839817
sample_0171	7	1741	0.9959954233409611
sample_0172	7	1741	0.9959954233409611
sample_0173	6	1742	0.9965675057208238
sample_0174	7	1741	0.9959954233409611
sample_0175	11	1737	0.9937070938215103
sample_0176	6	1742	0.9965675057208238
sample_0177	7	1741	0.9959954233409611
sample_0178	83	1665	0.9525171624713958
sample_0179	10	1738	0.994279176201373
sample_0180	11	1737	0.9937070938215103
sample_0181	45	1703	0.9742562929061785
sample_0182	28	1720	0.9839816933638444
sample_0183	99	1649	0.9433638443935927
sample_0184	88	1660	0.9496567505720824
sample_0185	20	1728	0.988558352402746
sample_0186	16	1732	0.9908466819221968
sample_0187	63	1685	0.9639588100686499
sample_0188	23	1725	0.9868421052631579
sample_0189	14	1734	0.9919908466819222
sample_0190	8	1740	0.9954233409610984
sample_0191	7	1741	0.9959954233409611
sample_0192	13	1735	0.9925629290617849
sample_0193	27	1721	0.9845537757437071
sample_0194	6	1742	0.9965675057208238
sample_0195	8	1740	0.9954233409610984
sample_0196	9	1739	0.9948512585812357
sample_0197	6	1742	0.9965675057208238
sample_0198	11	1737	0.9937070938215103
sample_0199	8	1740	0.9954233409610984
sample_0200	7	1741	0.9959954233409611
sample_0201	7	1741	0.9959954233409611
sample_0202	11	1737	0.9937070938215103
sample_0203	7	1741	0.9959954233409611
sample_0204	6	1742	0.9965675057208238
sample_0205	8	1740	0.9954233409610984
sample_0206	9	1739	0.9948512585812357
