sequence	MST-78x1.0
NGPT08035	G006
NGPT08036	G019
NGPT08039	G010
NGPT08040	G005
NGPT08041	G033
NGPT08042	G019
NGPT08043	G002
NGPT08044	G005
NGPT08046	G028
NGPT08050	G002
NGPT08051	G006
NGPT08054	G002
NGPT08055	G051
NGPT08058	G019
NGPT08060	G006
NGPT08062	G013
NGPT09008	G013
NGPT09015	G026
NGPT09016	G034
NGPT09018	G002
NGPT09020	G026
NGPT09026	G002
NGPT09029	G069
NGPT09031	G019
NGPT09035	G002
NGPT09039	G019
NGPT09040	G002
NGPT09044	G019
NGPT09054	G008
NGPT09056	G008
NGPT09058	G005
NGPT09059	G008
NGPT09060	G005
NGPT09063	G002
NGPT09065	G005
NGPT09066	G002
NGPT09067	G002
NGPT09069	G013
NGPT09072	G013
NGPT09075	G020
NGPT09078	G006
NGPT09079	G005
NGPT09083	G002
NGPT09084	G002
NGPT09085	G002
NGPT10005	G005
NGPT10007	G005
NGPT10011	G006
NGPT10012	G001
NGPT10014	G002
NGPT10019	G002
NGPT10020	G002
NGPT10026	G005
NGPT10027	G005
NGPT10029	G005
NGPT10034	G001
NGPT10035	G002
NGPT10039	G005
NGPT10040	G006
NGPT10043	G002
NGPT10045	G001
NGPT10049	G008
NGPT10051	G002
NGPT10055	G044
NGPT10057	G002
NGPT10060	G002
NGPT10061	G005
NGPT10064	G059
NGPT10065	G034
NGPT10066	G002
NGPT10068	G002
NGPT10069	G168
NGPT10071	G002
NGPT10073	G002
NGPT11003	G002
NGPT11008	G005
NGPT11009	G002
NGPT11011	G006
NGPT11012	G002
NGPT11015	G002
NGPT11021	G006
NGPT11022	G002
NGPT11023	G002
NGPT11024	G002
NGPT11026	G001
NGPT11039	G002
NGPT11040	G028
NGPT11048	G002
NGPT11052	G006
NGPT11054	G002
NGPT11056	G005
NGPT11065	G002
NGPT11066	G002
NGPT11070	G002
NGPT11073	G002
NGPT11076	G002
NGPT11077	G002
NGPT11079	G002
NGPT11080	G002
NGPT11089	G006
NGPT11100	G002
NGPT11107	G006
NGPT11108	G005
NGPT12001	G047
NGPT12002	G047
NGPT12012	G005
NGPT12015	G005
NGPT12020	G002
NGPT12021	G004
NGPT12026	G002
NGPT12027	G005
NGPT12030	G002
NGPT12034	G002
NGPT12037	G002
NGPT12038	G005
NGPT12044	G002
NGPT12045	G008
