sequence	root_dist-25x1.0	root_dist-26x1.0	root_dist-27x1.0	root_dist-28x1.0	root_dist-29x1.0	root_dist-30x1.0	root_dist-31x1.0	root_dist-32x1.0	root_dist-33x1.0	root_dist-34x1.0	root_dist-35x1.0	root_dist-36x1.0	root_dist-37x1.0	root_dist-38x1.0	root_dist-39x1.0	root_dist-40x1.0	root_dist-41x1.0	root_dist-42x1.0	root_dist-43x1.0	root_dist-44x1.0	root_dist-45x1.0	root_dist-46x1.0	root_dist-47x1.0	root_dist-48x1.0	root_dist-49x1.0	root_dist-50x1.0	root_dist-51x1.0	root_dist-52x1.0	root_dist-53x1.0	root_dist-54x1.0	root_dist-55x1.0	root_dist-56x1.0	root_dist-57x1.0	root_dist-58x1.0	root_dist-59x1.0	root_dist-60x1.0	root_dist-61x1.0	root_dist-62x1.0	root_dist-63x1.0	root_dist-64x1.0	root_dist-65x1.0	root_dist-66x1.0	root_dist-67x1.0	root_dist-68x1.0	root_dist-69x1.0	avg_clade-1x1.0	max_clade-2x1.0
Portugal/PT22291/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	70	45	54	35	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	616	771
Portugal/PT22478/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	70	45	54	35	singleton	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	616	771
Portugal/PT21959/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	70	45	54	34	26	9	singleton	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT24095/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	70	45	52	singleton	singleton	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	550	857
Portugal/PT24736/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	70	45	52	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	550	857
Portugal/PT21368/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	68	69	44	50	32	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	481	767
Portugal/PT20930/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	68	69	44	50	32	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	481	767
Portugal/PT20860/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	134	135	145	171	166	142	119	98	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	617	568
Portugal/PT21733/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	134	135	145	171	166	142	119	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	578	567
Portugal/PT21777/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	134	135	145	171	166	142	119	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	578	567
