partition	cluster	cluster_length	samples	lineage	clade_membership	first_seq_date	last_seq_date	timespan_days	n_Health_region	Health_region	S1_mutations
root_dist-41x1.0	244	13	Portugal/PT22336/2021,Portugal/PT21778/2021,Portugal/PT21789/2021,Portugal/PT23606/2021,Portugal/PT21780/2021,Portugal/PT22337/2021,Portugal/PT22338/2021,Portugal/PT21790/2021,Portugal/PT21791/2021,Portugal/PT21781/2021,Portugal/PT21786/2021,Portugal/PT21792/2021,Portugal/PT21785/2021	AY.102 (76.9%), B.1.617.2 (23.1%) (n = 13)	21J (Delta) (100.0%) (n = 13)	2021-11-19	2021-12-14	25	1	ALENTEJO (100.0%) (n = 13)	8.00 (100.0%) (n = 13)
root_dist-41x1.0	38	5	Portugal/PT23429/2021,Portugal/PT24028/2021,Portugal/PT22290/2021,Portugal/PT23002/2021,Portugal/PT24309/2021	AY.43 (100.0%) (n = 5)	21J (Delta) (100.0%) (n = 5)	2021-11-28	2021-12-21	23	2	LX V TEJO (80.0%), ALGARVE (20.0%) (n = 5)	8.00 (100.0%) (n = 5)
root_dist-41x1.0	264	46	Portugal/PT21177/2021,Portugal/PT22330/2021,Portugal/PT24397/2021,Portugal/PT23478/2021,Portugal/PT21847/2021,Portugal/PT20638/2021,Portugal/PT21577/2021,Portugal/PT22008/2021,Portugal/PT24141/2021,Portugal/PT21001/2021,Portugal/PT21226/2021,Portugal/PT21150/2021,Portugal/PT21151/2021,Portugal/PT21220/2021,Portugal/PT21225/2021,Portugal/PT21227/2021,Portugal/PT22357/2021,Portugal/PT22362/2021,Portugal/PT23044/2021,Portugal/PT23041/2021,Portugal/PT23040/2021,Portugal/PT22351/2021,Portugal/PT22355/2021,Portugal/PT23053/2021,Portugal/PT23046/2021,Portugal/PT24229/2021,Portugal/PT22864/2021,Portugal/PT21703/2021,Portugal/PT21702/2021,Portugal/PT21221/2021,Portugal/PT21229/2021,Portugal/PT22964/2021,Portugal/PT21002/2021,Portugal/PT25653/2022,Portugal/PT21946/2021,Portugal/PT20207/2021,Portugal/PT20935/2021,Portugal/PT22787/2021,Portugal/PT22815/2021,Portugal/PT21372/2021,Portugal/PT21316/2021,Portugal/PT21367/2021,Portugal/PT21378/2021,Portugal/PT22298/2021,Portugal/PT22010/2021,Portugal/PT21831/2021	AY.26 (100.0%) (n = 46)	21I (Delta) (100.0%) (n = 46)	2021-11-01	2022-01-09	69	3	CENTRO (56.5%), ALENTEJO (23.9%), LX V TEJO (19.6%) (n = 46)	8.00 (52.2%), 9.00 (37.0%), 10.00 (10.9%) (n = 46)
root_dist-41x1.0	248	2	Portugal/PT23547/2021,Portugal/PT23914/2021	AY.126 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-12-12	2021-12-14	2	2	ALGARVE (50.0%), LX V TEJO (50.0%) (n = 2)	9.00 (100.0%) (n = 2)
root_dist-41x1.0	252	8	Portugal/PT21807/2021,Portugal/PT23278/2021,Portugal/PT26417/2021,Portugal/PT23710/2021,Portugal/PT23704/2021,Portugal/PT24295/2021,Portugal/PT25578/2022,Portugal/PT24663/2021	AY.118 (87.5%), AY.129 (12.5%) (n = 8)	21J (Delta) (100.0%) (n = 8)	2021-11-23	2022-01-09	47	3	CENTRO (50.0%), ALENTEJO (25.0%), LX V TEJO (25.0%) (n = 8)	8.00 (87.5%), 9.00 (12.5%) (n = 8)
root_dist-41x1.0	114	4	Portugal/PT23493/2021,Portugal/PT26415/2021,Portugal/PT23496/2021,Portugal/PT23494/2021	AY.33 (100.0%) (n = 4)	21J (Delta) (100.0%) (n = 4)	2021-12-05	2021-12-14	9	1	ALENTEJO (100.0%) (n = 4)	10.00 (100.0%) (n = 4)
root_dist-41x1.0	159	2	Portugal/PT21126/2021,Portugal/PT24751/2021	AY.123 (50.0%), AY.123.1 (50.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-08	2021-12-27	49	2	CENTRO (50.0%), LX V TEJO (50.0%) (n = 2)	8.00 (50.0%), 9.00 (50.0%) (n = 2)
root_dist-41x1.0	74	3	Portugal/PT20506/2021,Portugal/PT21850/2021,Portugal/PT20500/2021	AY.46.6 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-11-02	2021-11-23	21	1	ALENTEJO (100.0%) (n = 3)	8.00 (100.0%) (n = 3)
root_dist-41x1.0	240	3	Portugal/PT20716/2021,Portugal/PT21162/2021,Portugal/PT27569/2021	AY.4 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-11-07	2021-11-30	23	2	NORTE (66.7%), LX V TEJO (33.3%) (n = 3)	8.00 (66.7%), 9.00 (33.3%) (n = 3)
root_dist-41x1.0	15	2	Portugal/PT23472/2021,Portugal/PT23959/2021	AY.122 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-12-12	2021-12-20	8	2	ALGARVE (50.0%), LX V TEJO (50.0%) (n = 2)	7.00 (100.0%) (n = 2)
