col2	col1	AdjRand	Simpson_col2	Simpson_col1	Wallace	AdjWallace	AdjWallaceIClow	AdjWallaceIChigh	col2_cluster	col1_cluster
MST-16x1.0	MST-15x1.0	0.9827464241430323	0.9720137347616558	0.9729373896380794	1.0	0.9660781219816645	0.9500207128396502	0.9821355311236789	581	605
MST-17x1.0	MST-16x1.0	0.9653435807757849	0.9700644409585683	0.9720137347616558	1.0	0.9330088354350511	0.9107676398435314	0.9552500310265708	560	581
MST-18x1.0	MST-17x1.0	0.9891991884734094	0.9694307072952022	0.9700644409585683	1.0	0.9786291989412268	0.9697995666341166	0.987458831248337	545	560
MST-19x1.0	MST-18x1.0	0.9923553652238201	0.9689743371974715	0.9694307072952022	1.0	0.9848267245964586	0.9733584869588927	0.9962949622340245	529	545
MST-20x1.0	MST-19x1.0	0.916804235304809	0.9635487175079328	0.9689743371974715	1.0	0.8463883124236512	0.8234048382908693	0.8693717865564331	520	529
MST-21x1.0	MST-20x1.0	0.9958980938377787	0.9632594784624352	0.9635487175079328	1.0	0.9918297014734307	0.9834426948378275	1.000216708109034	511	520
MST-22x1.0	MST-21x1.0	0.9908406785189197	0.9626056208560453	0.9632594784624352	1.0	0.9818476205171692	0.9697441452038845	0.9939510958304539	496	511
MST-23x1.0	MST-22x1.0	0.9960348515161997	0.9623191104807883	0.9626056208560453	1.0	0.9921010236465111	0.9844882728101008	0.9997137744829214	486	496
MST-24x1.0	MST-23x1.0	0.9990038460289016	0.9622468007194139	0.9623191104807883	1.0	0.9980096747282264	0.9953811085629959	1.0006382408934569	474	486
MST-25x1.0	MST-24x1.0	0.9895302785681471	0.9614786800467012	0.9622468007194139	1.0	0.9792775157735214	0.965717063322234	0.9928379682248089	458	474
MST-26x1.0	MST-25x1.0	0.9937054812926976	0.961009689849108	0.9614786800467012	1.0	0.9874897088470911	0.9816464645164781	0.9933329531777041	447	458
MST-27x1.0	MST-26x1.0	0.9979421202105094	0.9608551788967372	0.961009689849108	1.0	0.9958926927655657	0.9903883808629013	1.0013970046682301	434	447
MST-28x1.0	MST-27x1.0	0.9935053578366873	0.9603636771696595	0.9608551788967372	1.0	0.9870945320695329	0.9764464354390633	0.9977426287000025	427	434
MST-29x1.0	MST-28x1.0	0.9984252395426234	0.9602436156790757	0.9603636771696595	1.0	0.9968554310281192	0.9926288391338076	1.0010820229224309	420	427
MST-30x1.0	MST-29x1.0	0.9990136284364819	0.9601682361636806	0.9602436156790757	1.0	0.998029200813239	0.9963104237493681	0.9997479778771099	414	420
MST-31x1.0	MST-30x1.0	0.9901724992203425	0.9594096658368099	0.9601682361636806	1.0	0.980536278182026	0.9694676286081131	0.991604927755939	405	414
MST-32x1.0	MST-31x1.0	0.9993828693169361	0.9593615730238203	0.9594096658368099	1.0	0.9987664998646533	0.997749349503233	0.9997836502260735	398	405
MST-33x1.0	MST-32x1.0	0.9870461440491428	0.958339344934957	0.9593615730238203	1.0	0.9744236010855649	0.9696019589972703	0.9792452431738595	384	398
MST-34x1.0	MST-33x1.0	0.9948727211055173	0.9579279978961952	0.958339344934957	1.0	0.9897977519819736	0.9826772810274427	0.9969182229365046	374	384
MST-35x1.0	MST-34x1.0	0.9993106839876776	0.9578724012400441	0.9579279978961952	1.0	0.9986223176338701	0.9982689756916883	0.9989756595760519	368	374
MST-36x1.0	MST-35x1.0	0.9504984508802969	0.9536876443423922	0.9578724012400441	1.0	0.9056665534963264	0.8822296443040982	0.9291034626885546	354	368
MST-37x1.0	MST-36x1.0	0.9992822750173339	0.9536242027592996	0.9536876443423922	1.0	0.9985655795540573	0.9974093433721202	0.9997218157359945	346	354
MST-38x1.0	MST-37x1.0	0.9976335130975355	0.9534144362345579	0.9536242027592996	1.0	0.9952782002722828	0.9913190947749435	0.999237305769622	338	346
MST-39x1.0	MST-38x1.0	0.9949319491739915	0.952962159142188	0.9534144362345579	1.0	0.9899150095919508	0.9840917999905814	0.9957382191933202	329	338
